Input file size: 27196 bytes
Format verson: 0
Number of descriptors: 1272

42C2C 4*
2A2-5B2A-66A2-66A2 8 
2A2-5B2-66A2A-66A2 8 
2A2A-5B2-66C2 8 
2A2-5B2A-66C2 8 
2A2-5B2-66C2A 8 
2C2A-5B2-30A2 8 
2C2-5B2A-30A2 8 
2C2-5B2-30A2A 8 
39C2A-41D2 10 
39C2-41D2A 10 
3A2A-28A2-40D2 10 
3A2-28A2A-40D2 10 
3A2A-28A2-41A2-42C2 10 
3A2-28A2A-41A2-42C2 10 
3A2A-28A2-41C2-42A2 10 
3A2-28A2A-41C2-42A2 10 
3A2A-40E2 10 
3A2A-41C2-42C2 10 
3C2A-7C2-28A2 10 
3C2-7C2A-28A2 10 
3C2-7C2-28A2A 10 
66A2A-66A2-46D2 10 
66B2A-48A2-48C2 8 
66C2A-48A2-48C2 10 
66A2A-48C2-48C2 10 
66A2A-48E2 10 
5A2A-66A2-46D2 10 
5A2-66A2A-46D2 10 
5A2A-7A2-46D2 10 
5A2-7A2A-46D2 10 
5B2A-30A2-66A2-66A2 8 
5B2-30A2A-66A2-66A2 8 
5B2-30A2-66A2A-66A2 8 
5B2A-66A2-66B2 6 
5B2-66A2A-66B2 6 
12A2A-25A4 6 
12A2-25A4A 6 
1A4A-18A2 6 
1A4-18A2A 6 
1A4A-38A4 8 
1A4A-3A4 8 
1A4-3A4A 8 
1A4A-41A4 8 
1A4A-7A4 8 
1A4-7A4A 8 
20A2A-38A4 6 
20A2A-40A4 6 
25A4A-25A4 8 
25A4A-41A4 8 
2A4A-17A2 6 
2A4-17A2A 6 
2A4A-28A2 6 
2A4-28A2A 6 
2A4A-2A4 8 
2A4A-30A4 8 
2A4-30A4A 8 
2A4A-4A4 8 
2A4-4A4A 8 
2A4A-66A4 8 
2A4-66A4A 8 
2A4A-7A4 8 
2A4-7A4A 8 
38C4C 8*
3A4A-38A4 8 
3A4A-3A4 8 
3A4A-40A4 8 
3A4A-41A4 8 
3A4A-7A4 8 
3A4-7A4A 8 
40A4A-40A4 8 
40C4C 8*
41A4A-41A4 8 
4A4A-17A2 6 
4A4-17A2A 6 
4A4A-28A2 6 
4A4-28A2A 6 
4A4A-4A4 8 
4A4A-7A4 8 
4A4-7A4A 8 
5A2A-25A4 6 
5A2-25A4A 6 
5A2A-38A4 6 
5A2A-41A4 6 
66A4A-66A4 8 
7A4A-66A4 8 
7A4-66A4A 8 
7A4A-7A4 8 
12A2A-66A4-66A2 8 
12A2-66A4A-66A2 8 
12A2A-66C4 10 
12A2-66C4A 10 
13A2A-66B4 6 
13A2-66B4A 6 
13A2A-66C4 10 
13A2-66C4A 10 
14A2A-66A4-66A2 8 
14A2-66A4A-66A2 8 
1A4A-1A2-3A2 8 
1A4-1A2-3A2A 8 
1A2A-1A2-3A4 8 
1A2-1A2-3A4A 8 
1A4A-1A2-5A2 8 
1A4-1A2-5A2A 8 
1A4A-20A2-42A2 8 
1A4-20A2A-42A2 8 
1A4A-3A2-19A2 8 
1A4-3A2A-19A2 8 
1A4-3A2-19A2A 8 
1A2A-3A4-19A2 8 
1A2-3A4A-19A2 8 
1A2-3A4-19A2A 8 
1A4A-3A2-20A2 8 
1A4-3A2A-20A2 8 
1A4-3A2-20A2A 8 
1A2A-3A4-20A2 8 
1A2-3A4A-20A2 8 
1A2-3A4-20A2A 8 
1A4A-3A2-26A2 8 
1A4-3A2A-26A2 8 
1A4-3A2-26A2A 8 
1A2A-3A4-26A2 8 
1A2-3A4A-26A2 8 
1A2-3A4-26A2A 8 
1A2A-3A4-28A2 8 
1A2-3A4A-28A2 8 
1A2-3A4-28A2A 8 
1A4A-3A2-38A2 8 
1A4-3A2A-38A2 8 
1A2A-3A4-38A2 8 
1A2-3A4A-38A2 8 
1A4A-3A2-3A2 8 
1A4-3A2A-3A2 8 
1A2A-3A4-3A2 8 
1A2-3A4A-3A2 8 
1A2A-3A4-5A2 8 
1A2-3A4A-5A2 8 
1A2-3A4-5A2A 8 
1A2A-3A4-8A2 8 
1A2-3A4A-8A2 8 
1A2-3A4-8A2A 8 
1A2-3C4C 10*
1A2A-3C4 10 
1A2A-41C4 10 
1A4A-5A2-7A2 8 
1A4-5A2A-7A2 8 
1A4-5A2-7A2A 8 
1A2A-5A2-7A4 8 
1A2-5A2A-7A4 8 
1A2-5A2-7A4A 8 
1A4A-7A2-20A2 8 
1A4-7A2A-20A2 8 
1A4-7A2-20A2A 8 
1A2A-7A4-20A2 8 
1A2-7A4A-20A2 8 
1A2-7A4-20A2A 8 
1A2A-7A4-28A2 8 
1A2-7A4A-28A2 8 
1A2-7A4-28A2A 8 
1A4A-7A2-42A2 8 
1A4-7A2A-42A2 8 
1A2A-7A4-42A2 8 
1A2-7A4A-42A2 8 
1A4A-7A2-7A2 8 
1A4-7A2A-7A2 8 
1A2A-7A4-7A2 8 
1A2-7A4A-7A2 8 
1A4A-7A2-8A2 8 
1A4-7A2A-8A2 8 
1A4-7A2-8A2A 8 
1A2A-7A4-8A2 8 
1A2-7A4A-8A2 8 
1A2-7A4-8A2A 8 
1A2A-7C4 10 
1A2-7C4A 10 
1C4A-3A2 10 
1C4-3A2A 10 
1C4A-41A2 10 
1C2A-41A4 8 
25A4A-25A2-26A2 8 
25A4-25A2-26A2A 8 
25A2A-41C4 10 
26A2A-41C4 10 
28A2A-40C4 10 
28A2A-41C4 10 
29A2-66A4A-66A2 8 
2A4A-12A2-30A2 8 
2A4-12A2A-30A2 8 
2A4-12A2-30A2A 8 
2A2A-12A2-66A4 8 
2A2-12A2A-66A4 8 
2A2-12A2-66A4A 8 
2A2A-13A2-66A4 8 
2A2-13A2A-66A4 8 
2A2-13A2-66A4A 8 
2A4A-14A2-30A2 8 
2A4-14A2A-30A2 8 
2A4-14A2-30A2A 8 
2A2A-14A2-30A4 8 
2A2-14A2A-30A4 8 
2A2-14A2-30A4A 8 
2A4A-29A2-30A2 8 
2A4-29A2-30A2A 8 
2A4A-29A2-66A2 8 
2A4-29A2-66A2A 8 
2A2A-29A2-66A4 8 
2A2-29A2-66A4A 8 
2A4A-2A2-12A2 8 
2A4-2A2-12A2A 8 
2A4A-2A2-13A2 8 
2A4-2A2-13A2A 8 
2A4A-2A2-29A2 8 
2A4A-2A2-30A2 8 
2A4-2A2-30A2A 8 
2A2A-2A2-30A4 8 
2A2-2A2-30A4A 8 
2A4A-2A2-4A2 8 
2A4-2A2-4A2A 8 
2A2A-2A2-4A4 8 
2A2-2A2-4A4A 8 
2A4A-2A2-5A2 8 
2A4-2A2-5A2A 8 
2A2A-2A2-66A4 8 
2A2-2A2-66A4A 8 
2A4A-30A2-66A2 8 
2A4-30A2A-66A2 8 
2A4-30A2-66A2A 8 
2A4A-48A2-48A2 8 
2A4A-48A2-66A2 8 
2A4-48A2-66A2A 8 
2A2A-48A2-66A4 8 
2A2-48A2-66A4A 8 
2A4A-4A2-12A2 8 
2A4-4A2A-12A2 8 
2A4-4A2-12A2A 8 
2A2A-4A4-12A2 8 
2A2-4A4A-12A2 8 
2A2-4A4-12A2A 8 
2A4A-4A2-13A2 8 
2A4-4A2A-13A2 8 
2A4-4A2-13A2A 8 
2A2A-4A4-13A2 8 
2A2-4A4A-13A2 8 
2A2-4A4-13A2A 8 
2A4A-4A2-29A2 8 
2A4-4A2A-29A2 8 
2A2A-4A4-29A2 8 
2A2-4A4A-29A2 8 
2A4A-4A2-30A2 8 
2A4-4A2A-30A2 8 
2A4-4A2-30A2A 8 
2A4A-4A2-4A2 8 
2A4-4A2A-4A2 8 
2A2A-4A4-4A2 8 
2A2-4A4A-4A2 8 
2A4A-4A2-5A2 8 
2A4-4A2A-5A2 8 
2A4-4A2-5A2A 8 
2A2A-4A4-5A2 8 
2A2-4A4A-5A2 8 
2A2-4A4-5A2A 8 
2A4A-5A2-30A2 8 
2A4-5A2A-30A2 8 
2A4-5A2-30A2A 8 
2A2A-5A2-66A4 8 
2A2-5A2A-66A4 8 
2A2-5A2-66A4A 8 
2A2A-66B4 6 
2A2-66B4A 6 
2A2A-66C4 10 
2A2-66C4A 10 
2A4A-7A2-12A2 8 
2A4-7A2A-12A2 8 
2A4-7A2-12A2A 8 
2A2A-7A4-12A2 8 
2A2-7A4A-12A2 8 
2A2-7A4-12A2A 8 
2A4A-7A2-66A2 8 
2A4-7A2A-66A2 8 
2A4-7A2-66A2A 8 
2A2A-7A4-66A2 8 
2A2-7A4A-66A2 8 
2A2-7A4-66A2A 8 
2A2A-7A2-66A4 8 
2A2-7A2A-66A4 8 
2A2-7A2-66A4A 8 
2A4A-7A2-7A2 8 
2A4-7A2A-7A2 8 
2A2A-7A4-7A2 8 
2A2-7A4A-7A2 8 
